name,type,Average,Variance,Std,Min,Max,Geometric_mean,Harmonic_mean
zzzzzz.xxxxxx.cccccc,Malware,25.96630693,4396.458963,66.30579886,3.424,500,12.83550239,10.45077193
zzzzzz.xxxxxx.cccccc,Malware,20.30238806,2635.876998,51.34079272,3.582,500,12.27919133,10.4300044
zzzzzz.xxxxxx.cccccc,Malware,12.654105,1282.360517,35.81006168,3.32,500,9.302194759,8.5875535
zzzzzz.xxxxxx.cccccc,Malware,31.41317327,4668.359271,68.32539258,3.036,500,14.26803533,10.46192757
zzzzzz.xxxxxx.cccccc,Malware,17.9512,2620.520198,51.19101677,3.991,500,11.05283273,9.913587909
zzzzzz.xxxxxx.cccccc,Malware,13.87149,1355.908898,36.82266826,3.755,500,9.911787837,9.14047606
zzzzzz.xxxxxx.cccccc,Malware,18.52166667,2871.599221,53.58730466,2.923,500,10.00912985,8.633139723
zzzzzz.xxxxxx.cccccc,Malware,16.57779104,2714.325959,52.09919346,2.544,500,9.480242851,8.412237477
zzzzzz.xxxxxx.cccccc,Malware,17.82868159,2638.780814,51.36906475,3.376,500,10.35830064,9.041115124
zzzzzz.xxxxxx.cccccc,Malware,23.68512376,4234.675658,65.07438557,2.819,500,11.89090607,9.971613843
zzzzzz.xxxxxx.cccccc,Malware,16.07799,1444.374683,38.00492972,3.09,500,11.11012998,9.809396062
zzzzzz.xxxxxx.cccccc,Malware,17.74149254,2655.970318,51.53610693,3.526,500,10.44249034,9.18245555
zzzzzz.xxxxxx.cccccc,Malware,16.60566169,2604.197186,51.03133533,3.132,500,9.680997216,8.571695926
zzzzzz.xxxxxx.cccccc,Malware,15.48957711,1550.577464,39.37737248,3.403,500,9.996079868,8.929945256
zzzzzz.xxxxxx.cccccc,Malware,20.023275,1725.175535,41.53523246,2.891,500,11.77682544,9.401790648
zzzzzz.xxxxxx.cccccc,Malware,13.87802,1383.532747,37.19587003,3.645,500,9.626355296,8.719827263
zzzzzz.xxxxxx.cccccc,Malware,33.89196552,6101.777986,78.11387832,3.052,500,15.00172131,11.04308423
zzzzzz.xxxxxx.cccccc,Malware,12.95402,1316.093886,36.2780083,3.381,500,9.361381436,8.67071319
zzzzzz.xxxxxx.cccccc,Malware,13.39977,1342.890809,36.6454746,3.135,500,9.490176533,8.734600076
zzzzzz.xxxxxx.cccccc,Malware,15.68407,1525.963337,39.0635807,3.325,500,10.21384261,9.053458037
zzzzzz.xxxxxx.cccccc,Malware,14.3891,1487.171083,38.56385721,3.862,500,10.10077893,9.379844053
zzzzzz.xxxxxx.cccccc,Malware,20.63791045,3008.715913,54.85176308,3.036,500,10.94204947,9.285095674
zzzzzz.xxxxxx.cccccc,Malware,24.98263366,3203.782731,56.60196756,2.792,500,13.36792466,10.39231391
zzzzzz.xxxxxx.cccccc,Malware,22.7370198,4012.739768,63.34618984,3.79,500,12.14843241,10.44932372
zzzzzz.xxxxxx.cccccc,Malware,17.51869652,2760.07033,52.5363715,3.068,500,9.903175517,8.753987372
zzzzzz.xxxxxx.cccccc,Malware,28.61712745,6214.932908,78.83484577,2.433,500,12.85745141,10.39140669
zzzzzz.xxxxxx.cccccc,Malware,19.81616418,2641.386717,51.39442301,3.112,500,11.96267004,10.25181214
zzzzzz.xxxxxx.cccccc,Malware,17.46739801,2646.745243,51.44652799,3.755,500,10.16788172,8.943960487
zzzzzz.xxxxxx.cccccc,Malware,16.40294527,1713.128962,41.3899621,3.079,500,10.06190987,8.807755412
zzzzzz.xxxxxx.cccccc,Malware,16.97202488,2602.480639,51.014514,3.286,500,9.958057809,8.784075724
zzzzzz.xxxxxx.cccccc,Malware,24.39179703,4311.648172,65.66314166,2.963,500,11.81080154,9.796779515
zzzzzz.xxxxxx.cccccc,Malware,22.55386139,4148.578663,64.40946098,3.175,500,11.27282399,9.500785771
zzzzzz.xxxxxx.cccccc,Malware,23.82998515,4244.080354,65.14660662,3.178,500,11.36782991,9.362231714
zzzzzz.xxxxxx.cccccc,Malware,16.75957711,2572.582687,50.72063374,3.471,500,10.25139439,9.243075769
zzzzzz.xxxxxx.cccccc,Malware,17.86029353,2668.832003,51.66073947,3.238,500,10.40024453,9.093184193
zzzzzz.xxxxxx.cccccc,Malware,20.66172637,2698.752893,51.94952255,3.786,500,12.39816504,10.54792066
zzzzzz.xxxxxx.cccccc,Malware,21.08357,1763.020709,41.98834015,3.023,500,13.27009012,10.79341794
zzzzzz.xxxxxx.cccccc,Malware,16.058665,1613.896575,40.17333164,2.864,500,10.0278471,8.759334977
zzzzzz.xxxxxx.cccccc,Malware,17.04821393,2625.72721,51.24185018,3.178,500,9.922843697,8.818649816
zzzzzz.xxxxxx.cccccc,Malware,13.86352,1418.199999,37.65899626,3.149,500,9.377012759,8.459437774
zzzzzz.xxxxxx.cccccc,Malware,12.299705,1298.882957,36.04001883,2.307,500,8.879919665,8.242031272
zzzzzz.xxxxxx.cccccc,Malware,14.886755,1496.849601,38.68914061,3.256,500,10.132835,9.140483557
zzzzzz.xxxxxx.cccccc,Malware,21.46096535,4056.953799,63.69422108,2.913,500,10.47972673,8.871586613
zzzzzz.xxxxxx.cccccc,Malware,26.76470297,5176.03064,71.94463593,3.168,500,13.14462204,10.63901973
zzzzzz.xxxxxx.cccccc,Malware,21.15122772,3971.366485,63.01877883,2.815,500,10.65328222,9.060753225
zzzzzz.xxxxxx.cccccc,Malware,12.76605,1319.126643,36.31978308,2.627,500,9.103175023,8.356116267
